;university_name;long;lat;periode;effectif
1504;Vanderbilt University;-86.805;36.1486;1921-1941;1
1505;Vanderbilt University;-86.805;36.1486;1941-1951;1
1506;Vanderbilt University;-86.805;36.1486;1951-1961;1
1507;Vanderbilt University;-86.805;36.1486;1961-1971;1
1508;Vassar College;-73.8958;41.6875;1901-1921;1
1509;Victoria University of Manchester;-2.23361;53.4656;1941-1951;1
1510;Victoria University of Wellington;174.768;-41.2889;1941-1951;1
1511;Victoria University of Wellington;174.768;-41.2889;1951-1961;1
1512;Villanova University;-75.3375;40.0377;1971-2001;1
1513;Vilnius University;25.2872;54.6825;1941-1951;1
1514;Vilnius University;25.2872;54.6825;1951-1961;1
1515;Vilnius University;25.2872;54.6825;1961-1971;2
1516;Virginia Commonwealth University;-77.4533;37.5466;1961-1971;1
1517;Virginia Military Institute;-79.44;37.79;1961-1971;1
1518;Virginia Tech;-80.425;37.225;1941-1951;1
1519;Vrije Universiteit Amsterdam;4.865;52.3339;1921-1941;6
1520;Vrije Universiteit Amsterdam;4.865;52.3339;1951-1961;2
1521;Vrije Universiteit Amsterdam;4.865;52.3339;1961-1971;2
1522;Vrije Universiteit Brussel;4.39573;50.8224;1961-1971;1
1523;Wa Ying College;114.183;22.3195;1921-1941;1
1524;Wageningen University and Research;5.6586;51.9671;1941-1951;1
1525;Wales;-3.18333;51.4833;1921-1941;1
1526;Warsaw University of Life Sciences;21.0481;52.1617;1951-1961;1
1527;Warsaw University of Technology;21.0106;52.2203;1901-1921;1
1528;Waseda University;139.719;35.7092;1921-1941;2
1529;Waseda University;139.719;35.7092;1941-1951;1
1530;Washington State University;-117.16;46.73;1951-1961;2
1531;Washington University in St. Louis;-90.305;38.648;1901-1921;1
1532;Washington University in St. Louis;-90.305;38.648;1921-1941;1
1533;Washington University in St. Louis;-90.305;38.648;1941-1951;1
1534;Washington University in St. Louis;-90.305;38.648;1951-1961;2
1535;Washington University in St. Louis;-90.305;38.648;1971-2001;1
1536;Washington, D.C.;-77.0164;38.9047;1951-1961;1
1537;Wayne State University;-83.0701;42.3573;1951-1961;1
1538;Wellesley College;-71.3067;42.2953;1941-1951;1
1539;Wellesley College;-71.3067;42.2953;1951-1961;1
1540;Wellesley College;-71.3067;42.2953;1971-2001;1
1541;Wesleyan University;-72.6558;41.5556;1921-1941;2
1542;Wesleyan University;-72.6558;41.5556;1951-1961;1
1543;Westminster City School;-0.1391;51.4978;1951-1961;1
1544;Wharton School of the University of Pennsylvania;-75.198;39.9532;1861-1901;1
1545;Wharton School of the University of Pennsylvania;-75.198;39.9532;1921-1941;1
1546;Wharton School of the University of Pennsylvania;-75.198;39.9532;1941-1951;4
1547;Wharton School of the University of Pennsylvania;-75.198;39.9532;1951-1961;1
1548;Willamette University;-123.031;44.9358;1921-1941;1
1549;Williams College;-73.203;42.713;1771-1861;2
