;place_name;place_type;long;lat;concat_person;person
345;Chilliwack;City;-121.951;49.1577;http://dbpedia.org/resource/Wayne_Smith_(statistician)|Wayne Smith (statistician) (2000);1
346;China;Country;116.383;39.9167;http://dbpedia.org/resource/Gregory_Chow|Gregory Chow (1930),http://dbpedia.org/resource/Xiaolan_Fu|Xiaolan Fu (2000);2
347;Chios;AdministrativeRegion;26.0167;38.4;http://dbpedia.org/resource/Andreas_Papandreou|Andreas Papandreou (1919),http://dbpedia.org/resource/Takis_Fotopoulos|Takis Fotopoulos (1940);2
348;Chittagong;City;91.8325;22.335;http://dbpedia.org/resource/Hossain_Zillur_Rahman|Hossain Zillur Rahman (1951),http://dbpedia.org/resource/Mihir_Rakshit|Mihir Rakshit (1936),http://dbpedia.org/resource/Muhammad_Yunus|Muhammad Yunus (1940);3
349;Chittagong District;;91.8389;22.3375;http://dbpedia.org/resource/Mainul_Islam|Mainul Islam (1950);1
350;Chișinău;City;28.8353;47.0229;http://dbpedia.org/resource/Dorin_Drăguțanu|Dorin Drăguțanu (1974),http://dbpedia.org/resource/Mariana_Durleșteanu|Mariana Durleșteanu (1971);2
351;Chorzów;;18.95;50.3;http://dbpedia.org/resource/Piotr_Nowina-Konopka|Piotr Nowina-Konopka (1949);1
352;Christchurch;City;172.62;-43.53;http://dbpedia.org/resource/John_McMillan_(economist)|John McMillan (economist) (1951);1
353;Chuncheon;City;127.733;37.8667;http://dbpedia.org/resource/Han_Seung-soo|Han Seung-soo (1936);1
354;Cienfuegos;Town;-80.4364;22.1456;http://dbpedia.org/resource/Oscar_Espinosa_Chepe|Oscar Espinosa Chepe (1940);1
355;Cincinnati;City;-84.5167;39.1;http://dbpedia.org/resource/John_Dierkes|John Dierkes (1905);1
356;Ciutulești;Village;28.3833;47.75;http://dbpedia.org/resource/Nicolae_Negru|Nicolae Negru (1948);1
357;Ciénaga de Oro;;-75.6167;8.88333;http://dbpedia.org/resource/Gustavo_Petro|Gustavo Petro (1960);1
358;Clairton, Pennsylvania;;-79.8872;40.2964;http://dbpedia.org/resource/Claudine_Schneider|Claudine Schneider (1947);1
359;Clarendon, Texas;City;-100.891;34.9364;http://dbpedia.org/resource/George_W._Stocking_Sr.|George W. Stocking Sr. (1892);1
360;Cleveland;City;-81.6697;41.4822;http://dbpedia.org/resource/David_Cutler|David Cutler (1965);1
361;Clichy, Hauts-de-Seine;;2.3064;48.9044;http://dbpedia.org/resource/Pascal_Lorot|Pascal Lorot (1960),http://dbpedia.org/resource/Thomas_Piketty|Thomas Piketty (1971);2
362;Clinton, Iowa;City;-90.2072;41.8469;http://dbpedia.org/resource/Edward_S._Mason|Edward S. Mason (1899);1
363;Cluj-Napoca;City;23.5833;46.7667;http://dbpedia.org/resource/Abraham_Wald|Abraham Wald (1902),http://dbpedia.org/resource/Egon_Balas|Egon Balas (1922),http://dbpedia.org/resource/István_Bethlen_(born_1946)|István Bethlen (born 1946) (1946);3
364;Coahuila;;-102.05;27.3;http://dbpedia.org/resource/Eliseo_Mendoza_Berrueto|Eliseo Mendoza Berrueto (1931);1
365;Coaña;Town;-6.75;43.5167;http://dbpedia.org/resource/Gonzalo_Anes|Gonzalo Anes (1931);1
366;Coimbatore;City;76.9725;11.0183;http://dbpedia.org/resource/C._K._Prahalad|C. K. Prahalad (1941);1
367;Coimbra;City;-8.42917;40.2111;http://dbpedia.org/resource/Pedro_Passos_Coelho|Pedro Passos Coelho (1964);1
368;Collingswood, New Jersey;CityDistrict;-75.0784;39.9153;http://dbpedia.org/resource/Edwin_Mills_(economist)|Edwin Mills (economist) (1928);1
369;Cologne;City;6.95278;50.9364;http://dbpedia.org/resource/Heinrich_Pesch|Heinrich Pesch (1854),http://dbpedia.org/resource/Max_Hirsch_(economist)|Max Hirsch (economist) (1852),http://dbpedia.org/resource/Ulrike_Malmendier|Ulrike Malmendier (2000);3
370;Colombia;Country;-72.0;4.58333;http://dbpedia.org/resource/Alberto_Carrasquilla_Barrera|Alberto Carrasquilla Barrera (1959),http://dbpedia.org/resource/Alfonso_López_Caballero|Alfonso López Caballero (1944),http://dbpedia.org/resource/Amilkar_Acosta_Medina|Amilkar Acosta Medina (1950),http://dbpedia.org/resource/Ana_Milena_Muñoz_Gómez|Ana Milena Muñoz Gómez (1956),http://dbpedia.org/resource/Ana_Paola_Agudelo_García|Ana Paola Agudelo García (1983),http://dbpedia.org/resource/Beatriz_Elena_Uribe_Botero|Beatriz Elena Uribe Botero (2000),http://dbpedia.org/resource/Carlos_Echeverri_Cortés|Carlos Echeverri Cortés (1900),http://dbpedia.org/resource/Clara_López_Obregón|Clara López Obregón (1950),http://dbpedia.org/resource/Fernando_Carrillo_Flórez|Fernando Carrillo Flórez (1963),http://dbpedia.org/resource/Frank_Pearl_González|Frank Pearl González (1962),http://dbpedia.org/resource/Gustavo_Adolfo_Carvajal_Sinisterra|Gustavo Adolfo Carvajal Sinisterra (1961),http://dbpedia.org/resource/Juan_Pablo_Gallo|Juan Pablo Gallo (1979),http://dbpedia.org/resource/Julio_César_Turbay_Ayala|Julio César Turbay Ayala (1916),http://dbpedia.org/resource/Julio_Garavito_Armero|Julio Garavito Armero (1865),http://dbpedia.org/resource/María_Isabel_Mejía_Marulanda|María Isabel Mejía Marulanda (1945),http://dbpedia.org/resource/Mauricio_Santa_María_Salamanca|Mauricio Santa María Salamanca (1966),http://dbpedia.org/resource/Miguel_Urrutia_Montoya|Miguel Urrutia Montoya (1939),http://dbpedia.org/resource/Rafael_Pardo_Rueda|Rafael Pardo Rueda (1953),http://dbpedia.org/resource/Rudolf_Hommes_Rodríguez|Rudolf Hommes Rodríguez (1943),http://dbpedia.org/resource/Simón_Gaviria_Muñoz|Simón Gaviria Muñoz (1980),http://dbpedia.org/resource/Victoriana_Mejía_Marulanda|Victoriana Mejía Marulanda (1943),http://dbpedia.org/resource/Álvaro_Araújo_Castro|Álvaro Araújo Castro (1967);22
371;Colombo;City;79.8428;6.93444;http://dbpedia.org/resource/Indrajit_Coomaraswamy|Indrajit Coomaraswamy (1950),http://dbpedia.org/resource/Lal_Jayawardena|Lal Jayawardena (1935),http://dbpedia.org/resource/P._Amarasinghe|P. Amarasinghe (2000),http://dbpedia.org/resource/Vela_Velupillai|Vela Velupillai (1947);4
372;Colton, California;City;-117.314;34.0739;http://dbpedia.org/resource/Refugio_Rochin|Refugio Rochin (1941);1
373;Columbia, Missouri;City;-92.3286;38.9516;http://dbpedia.org/resource/Benjamin_Anderson|Benjamin Anderson (1886),http://dbpedia.org/resource/Rebecca_Blank|Rebecca Blank (1955);2
374;Columbus, Georgia;City;-84.9403;32.4922;http://dbpedia.org/resource/R._Edward_Freeman|R. Edward Freeman (1951);1
375;Columbus, Ohio;City;-83.0006;39.9622;http://dbpedia.org/resource/Duncan_K._Foley|Duncan K. Foley (1942),http://dbpedia.org/resource/Joshua_Angrist|Joshua Angrist (1960),http://dbpedia.org/resource/Richard_Ruggles|Richard Ruggles (1916);3
376;Columbus, Wisconsin;City;-89.0153;43.3389;http://dbpedia.org/resource/James_B._Bullard|James B. Bullard (2000);1
377;Comilla;City;91.2;23.45;http://dbpedia.org/resource/Mohammad_Kabir_Hassan|Mohammad Kabir Hassan (1963);1
378;Como;;9.08333;45.8167;http://dbpedia.org/resource/Corrado_Passera|Corrado Passera (1954),http://dbpedia.org/resource/Stefano_DellaVigna|Stefano DellaVigna (1973);2
379;Compton, Berkshire;;-1.253;51.515;http://dbpedia.org/resource/Nassau_William_Senior|Nassau William Senior (1790);1
380;Comrat;City;28.6667;46.3167;http://dbpedia.org/resource/Alexandru_Bârlădeanu|Alexandru Bârlădeanu (1911);1
381;Concepción, Chile;City;-73.0514;-36.8282;http://dbpedia.org/resource/Carlos_Keller|Carlos Keller (1898);1
382;Congress Poland;Country;21.0167;52.2333;http://dbpedia.org/resource/Karol_Adamiecki|Karol Adamiecki (1866),http://dbpedia.org/resource/Ludwik_Krzywicki|Ludwik Krzywicki (1859),http://dbpedia.org/resource/Ludwik_Maurycy_Landau|Ludwik Maurycy Landau (1902),http://dbpedia.org/resource/Michał_Kalecki|Michał Kalecki (1899),http://dbpedia.org/resource/Oskar_R._Lange|Oskar R. Lange (1904),http://dbpedia.org/resource/Rosa_Luxemburg|Rosa Luxemburg (1871);6
383;Constantinople;;28.9556;41.0139;http://dbpedia.org/resource/Henri_Fayol|Henri Fayol (1841);1
384;Constanța;;28.6333;44.1667;http://dbpedia.org/resource/Nicholas_Georgescu-Roegen|Nicholas Georgescu-Roegen (1906);1
385;Copenhagen;City;12.5683;55.6761;http://dbpedia.org/resource/Alexandra_Mousavizadeh|Alexandra Mousavizadeh (1970),http://dbpedia.org/resource/Brian_Mikkelsen|Brian Mikkelsen (1966),http://dbpedia.org/resource/Ester_Boserup|Ester Boserup (1910),http://dbpedia.org/resource/Frederik_Zeuthen|Frederik Zeuthen (1888),http://dbpedia.org/resource/Lasse_Heje_Pedersen|Lasse Heje Pedersen (2000),http://dbpedia.org/resource/Tim_Bollerslev|Tim Bollerslev (1958);6
386;Corjova, Dubăsari;Village;29.1333;47.3;http://dbpedia.org/resource/Vladimir_Voronin|Vladimir Voronin (1941);1
387;Cork (city);City;-8.47;51.8972;http://dbpedia.org/resource/William_Thompson_(philosopher)|William Thompson (philosopher) (1775);1
388;Cornwall;AdministrativeRegion;-4.9;50.4;http://dbpedia.org/resource/Steve_Baker_(politician)|Steve Baker (politician) (1971);1
389;County Cork;;-8.58333;51.9667;http://dbpedia.org/resource/Sean_Barrett_(economist)|Sean Barrett (economist) (1944);1
390;County Wexford;;-6.75;52.5;http://dbpedia.org/resource/Thomas_Edward_Cliffe_Leslie|Thomas Edward Cliffe Leslie (1825);1
391;Craiova;;23.8167;44.3333;http://dbpedia.org/resource/Varujan_Vosganian|Varujan Vosganian (1958);1
392;Crawford County, Illinois;AdministrativeRegion;-87.76;39.0;http://dbpedia.org/resource/James_M._Hamilton|James M. Hamilton (1861);1
393;Cremona;;10.0333;45.1333;http://dbpedia.org/resource/Alessandro_Magnoli_Bocchi|Alessandro Magnoli Bocchi (1968);1
394;Crete;Island;24.91;35.21;http://dbpedia.org/resource/Emmanouil_Tsouderos|Emmanouil Tsouderos (1882);1
395;Crumlin, Dublin;;-6.329;53.324;http://dbpedia.org/resource/Martin_O'Donoghue|Martin O'Donoghue (1933);1
396;Cuetzalan;City;-97.5167;20.0333;http://dbpedia.org/resource/José_Luis_Flores_Hernández|José Luis Flores Hernández (1950);1
397;Cuiabá;Town;-56.0969;-15.5958;http://dbpedia.org/resource/Roberto_Campos|Roberto Campos (1917);1
398;Cuijk;Town;5.88333;51.7333;http://dbpedia.org/resource/Pieter_Bogaers|Pieter Bogaers (1924);1
399;Cupcini;Village;27.3853;48.1108;http://dbpedia.org/resource/Alexandru_Oleinic|Alexandru Oleinic (1959);1
400;Curridabat;AdministrativeRegion;-84.0348;9.91603;http://dbpedia.org/resource/Henry_Mora_Jiménez|Henry Mora Jiménez (1959);1
401;Cuttack;City;85.7881;20.5236;http://dbpedia.org/resource/Michael_Patra|Michael Patra (2000);1
402;Cyprus;Country;33.3667;35.1667;http://dbpedia.org/resource/Makis_Keravnos|Makis Keravnos (1951),http://dbpedia.org/resource/Phoebus_Dhrymes|Phoebus Dhrymes (1932);2
403;Czechoslovakia;Country;14.4167;50.0833;http://dbpedia.org/resource/Jiří_Rusnok|Jiří Rusnok (1960),http://dbpedia.org/resource/Marianne_Ferber|Marianne Ferber (1923);2
404;Częstochowa;;19.1167;50.8;http://dbpedia.org/resource/Jerzy_Kropiwnicki|Jerzy Kropiwnicki (1945),http://dbpedia.org/resource/Kazimierz_Łaski|Kazimierz Łaski (1921),http://dbpedia.org/resource/Konrad_Głębocki|Konrad Głębocki (1972),http://dbpedia.org/resource/Marek_Balt|Marek Balt (1973),http://dbpedia.org/resource/Marta_Salwierak|Marta Salwierak (1984),http://dbpedia.org/resource/Stanisław_Gmitruk|Stanisław Gmitruk (1955);6
405;Córdoba, Argentina;City;-64.1833;-31.4167;http://dbpedia.org/resource/Mario_Blejer|Mario Blejer (1948),http://dbpedia.org/resource/Pilar_Nores_de_García|Pilar Nores de García (1949),http://dbpedia.org/resource/Roque_Fernández|Roque Fernández (1947);3
406;Daegu;City;128.6;35.8667;http://dbpedia.org/resource/Yoo_Seong-min|Yoo Seong-min (1958);1
407;Dagestan;AdministrativeRegion;46.8833;43.1;http://dbpedia.org/resource/Magomedsalam_Magomedov|Magomedsalam Magomedov (1964);1
408;Damascus;City;36.2919;33.5131;http://dbpedia.org/resource/Abdullah_Dardari|Abdullah Dardari (2000),http://dbpedia.org/resource/Ghassan_Ibrahim|Ghassan Ibrahim (2000),http://dbpedia.org/resource/Izzat_Traboulsi|Izzat Traboulsi (1913),http://dbpedia.org/resource/Rami_Makhlouf|Rami Makhlouf (1969);4
409;Dannevirke;;176.099;-40.2061;http://dbpedia.org/resource/William_Phillips_(economist)|William Phillips (economist) (1914);1
410;Darjeeling;City;88.2667;27.05;http://dbpedia.org/resource/Mahendra_P._Lama|Mahendra P. Lama (1961);1
411;Davenport, Iowa;City;-90.5908;41.5431;http://dbpedia.org/resource/Arthur_De_Vany|Arthur De Vany (1937),http://dbpedia.org/resource/Henry_Carter_Adams|Henry Carter Adams (1851),http://dbpedia.org/resource/Robert_Basmann|Robert Basmann (1926);3
412;Dayton, Ohio;City;-84.1917;39.7594;http://dbpedia.org/resource/Horace_Bookwalter_Drury|Horace Bookwalter Drury (1888);1
413;Dearborn, Michigan;City;-83.2133;42.3144;http://dbpedia.org/resource/William_K._Black|William K. Black (1951);1
414;Debrecen;City;21.6392;47.53;http://dbpedia.org/resource/András_Tállai|András Tállai (1959),http://dbpedia.org/resource/Csaba_László_(politician)|Csaba László (politician) (1962),http://dbpedia.org/resource/István_Vásáry|István Vásáry (1887),http://dbpedia.org/resource/Lajos_Kósa|Lajos Kósa (1964);4
415;Deir al-Ghusun;;35.0769;32.3531;http://dbpedia.org/resource/Salam_Fayyad|Salam Fayyad (1951);1
416;Del Mar, California;City;-117.264;32.955;http://dbpedia.org/resource/Cecilia_Rouse|Cecilia Rouse (1963);1
417;Delacău, Transnistria;Village;29.2994;47.1281;http://dbpedia.org/resource/Veaceslav_Negruța|Veaceslav Negruța (1972);1
418;Delaware;AdministrativeRegion;-75.5;39.0;http://dbpedia.org/resource/Jacqueline_Jones|Jacqueline Jones (1948);1
419;Delft;City;4.35921;52.0117;http://dbpedia.org/resource/Joan_Muysken|Joan Muysken (1948),http://dbpedia.org/resource/Piet_Bukman|Piet Bukman (1934);2
420;Delhi;City;77.23;28.61;http://dbpedia.org/resource/Anis_Ahmad|Anis Ahmad (1944),http://dbpedia.org/resource/Khurshid_Ahmad_(scholar)|Khurshid Ahmad (scholar) (1932);2
421;Delitzsch;Town;12.3425;51.5264;http://dbpedia.org/resource/Franz_Hermann_Schulze-Delitzsch|Franz Hermann Schulze-Delitzsch (1808);1
422;Delmenhorst;Town;8.63167;53.0506;http://dbpedia.org/resource/Claudia_Kemfert|Claudia Kemfert (1968);1
423;Denizli;Town;29.0833;37.7667;http://dbpedia.org/resource/Nihat_Zeybekci|Nihat Zeybekci (1961);1
424;Denmark;Country;12.5667;56.0;http://dbpedia.org/resource/Henrik_Kleven|Henrik Kleven (2000),http://dbpedia.org/resource/Jakob_B._Madsen|Jakob B. Madsen (2000),http://dbpedia.org/resource/Søren_Johansen|Søren Johansen (1939),http://dbpedia.org/resource/Thorkil_Kristensen|Thorkil Kristensen (1899);4
425;Denver;City;-104.99;39.7392;http://dbpedia.org/resource/Jeremy_Rifkin|Jeremy Rifkin (1945),http://dbpedia.org/resource/Paul_Romer|Paul Romer (1955);2
426;Derby;City;-1.46667;52.9167;http://dbpedia.org/resource/Herbert_Spencer|Herbert Spencer (1820),http://dbpedia.org/resource/J._A._Hobson|J. A. Hobson (1858);2
427;Derbyshire;AdministrativeRegion;-1.6;53.1333;http://dbpedia.org/resource/Jeremy_Heywood|Jeremy Heywood (1961);1
428;Derry;;-7.3074;54.9958;http://dbpedia.org/resource/Hugh_Logue|Hugh Logue (1949);1
429;Des Moines, Iowa;City;-93.6208;41.5908;http://dbpedia.org/resource/Thomas_H._Stoner_Jr.|Thomas H. Stoner Jr. (1960);1
430;Detroit;City;-83.0458;42.3314;http://dbpedia.org/resource/Dave_Brat|Dave Brat (1964),http://dbpedia.org/resource/Edwin_Francis_Gay|Edwin Francis Gay (1867),http://dbpedia.org/resource/Herbert_Stein|Herbert Stein (1916),http://dbpedia.org/resource/Jeffrey_Miron|Jeffrey Miron (1957),http://dbpedia.org/resource/Jeffrey_Sachs|Jeffrey Sachs (1954),http://dbpedia.org/resource/John_Culbertson|John Culbertson (1921),http://dbpedia.org/resource/John_H._Noble|John H. Noble (1923),http://dbpedia.org/resource/Larry_J._Sechrest|Larry J. Sechrest (1946),http://dbpedia.org/resource/Leonard_Jimmie_Savage|Leonard Jimmie Savage (1917),http://dbpedia.org/resource/Paul_Milgrom|Paul Milgrom (1948),http://dbpedia.org/resource/Shawna_Grosskopf|Shawna Grosskopf (1950),http://dbpedia.org/resource/Stanley_Lebergott|Stanley Lebergott (1918),http://dbpedia.org/resource/Steven_Horwitz|Steven Horwitz (1964);13
431;Deventer;City;6.15;52.25;http://dbpedia.org/resource/Bé_Udink|Bé Udink (1926),http://dbpedia.org/resource/Willem_Scholten|Willem Scholten (1927);2
432;Devon;AdministrativeRegion;-3.71667;50.7167;http://dbpedia.org/resource/Rose_Dugdale|Rose Dugdale (2000);1
433;Dhaka;City;90.3889;23.7639;http://dbpedia.org/resource/Arindam_Banik|Arindam Banik (1958),http://dbpedia.org/resource/Partha_Dasgupta|Partha Dasgupta (1942);2
434;Dhamar, Yemen;City;44.4017;14.5667;http://dbpedia.org/resource/Ahmed_Abdul_Rahman_Al-Samawi|Ahmed Abdul Rahman Al-Samawi (1946);1
435;Dijon;;5.01667;47.3167;http://dbpedia.org/resource/Claude-Louis_Navier|Claude-Louis Navier (1785);1
436;Dimbokro;Town;-4.7;6.65;http://dbpedia.org/resource/Alassane_Ouattara|Alassane Ouattara (1942);1
437;Dinan;;-2.0489;48.4564;http://dbpedia.org/resource/Yves_Guyot|Yves Guyot (1843);1
438;Diyarbakır Province;AdministrativeRegion;40.2711;38.1422;http://dbpedia.org/resource/Hikmet_Çetin|Hikmet Çetin (2000);1
439;Doha;City;51.5333;25.2867;http://dbpedia.org/resource/Akbar_Al_Baker|Akbar Al Baker (1962);1
440;Dojran;;22.7247;41.1792;http://dbpedia.org/resource/Nikola_Stoyanov|Nikola Stoyanov (1874);1
441;Doncaster;;-1.133;53.515;http://dbpedia.org/resource/Denis_Sargan|Denis Sargan (1924);1
442;Donetsk;City;37.8053;48.0028;http://dbpedia.org/resource/Ihor_Sorkin|Ihor Sorkin (1967),http://dbpedia.org/resource/Serhiy_Arbuzov|Serhiy Arbuzov (1976);2
443;Dorset;AdministrativeRegion;-2.3;50.8;http://dbpedia.org/resource/John_Fforde|John Fforde (1921),http://dbpedia.org/resource/Susan_Strange|Susan Strange (1923);2
444;Dortmund;City;7.46667;51.5167;http://dbpedia.org/resource/Alex_Möller|Alex Möller (1903);1
445;Dr. Ambedkar Nagar;Town;75.76;22.55;http://dbpedia.org/resource/B._R._Ambedkar|B. R. Ambedkar (1891);1
446;Drancy;;2.45;48.93;http://dbpedia.org/resource/Thomas_Porcher|Thomas Porcher (1977);1
447;Dresden;;13.7333;51.0333;http://dbpedia.org/resource/Ernst_Engel|Ernst Engel (1821);1
448;Drogheda;Town;-6.35;53.714;http://dbpedia.org/resource/J._Peter_Neary|J. Peter Neary (1950);1
449;Drohobych;City;23.5;49.35;http://dbpedia.org/resource/David_Horowitz_(economist)|David Horowitz (economist) (2000);1
450;Drunen;;5.13306;51.6858;http://dbpedia.org/resource/Martin_van_Rooijen|Martin van Rooijen (1942);1
451;Druzhkivka;City;37.5278;48.6214;http://dbpedia.org/resource/Maksim_Saburov|Maksim Saburov (1900);1
452;Drvar;Town;16.3833;44.3667;http://dbpedia.org/resource/Nikola_Špirić|Nikola Špirić (1956);1
453;Dublin;City;-6.26667;53.35;http://dbpedia.org/resource/Brendan_Halligan|Brendan Halligan (1936),http://dbpedia.org/resource/Eithne_FitzGerald|Eithne FitzGerald (1950),http://dbpedia.org/resource/Garret_FitzGerald|Garret FitzGerald (1926),http://dbpedia.org/resource/George_Lee_(journalist)|George Lee (journalist) (1962),http://dbpedia.org/resource/John_D._FitzGerald|John D. FitzGerald (1949),http://dbpedia.org/resource/Patrick_Honohan|Patrick Honohan (1949),http://dbpedia.org/resource/Philip_R._Lane|Philip R. Lane (1969),http://dbpedia.org/resource/Shapland_Hugh_Swinny|Shapland Hugh Swinny (1857),http://dbpedia.org/resource/Tom_Kettle|Tom Kettle (1880);9
454;Duchy of Schleswig;Country;9.25;55.1667;http://dbpedia.org/resource/Ferdinand_Tönnies|Ferdinand Tönnies (1855);1
455;Dundee;City;-2.9707;56.462;http://dbpedia.org/resource/David_Kinley|David Kinley (1861);1
456;Dunstable;;-0.52102;51.886;http://dbpedia.org/resource/Samuel_Bailey|Samuel Bailey (1791);1
457;Dupnitsa;Town;23.1164;42.2645;http://dbpedia.org/resource/Plamen_Oresharski|Plamen Oresharski (1960);1
458;Dutch East Indies;Country;118.0;-2.0;http://dbpedia.org/resource/Emil_Salim|Emil Salim (1930);1
459;Dutch Republic;Country;4.3;52.0833;http://dbpedia.org/resource/Clemens_Maria_Franz_von_Bönninghausen|Clemens Maria Franz von Bönninghausen (1785);1
460;Dzierżoniów;;16.6511;50.7281;http://dbpedia.org/resource/Herbert_Giersch|Herbert Giersch (1921);1
461;Düren;Town;6.48333;50.8;http://dbpedia.org/resource/Hermann_Heinrich_Gossen|Hermann Heinrich Gossen (1810);1
462;Düsseldorf;City;6.78333;51.2333;http://dbpedia.org/resource/Joachim_Weimann|Joachim Weimann (1956),http://dbpedia.org/resource/Martin_Hellwig|Martin Hellwig (1949),http://dbpedia.org/resource/Michael_Hüther|Michael Hüther (1962);3
463;East Bengal;Country;90.9889;25.2192;http://dbpedia.org/resource/Ashok_Mitra|Ashok Mitra (1928),http://dbpedia.org/resource/Atiur_Rahman|Atiur Rahman (1951);2
464;East Orange, New Jersey;City;-74.2117;40.7651;http://dbpedia.org/resource/Richard_Thaler|Richard Thaler (1945);1
465;East Prussia;AdministrativeRegion;20.4833;54.7333;http://dbpedia.org/resource/Walther_Funk|Walther Funk (1890);1
466;Eastbourne;Town;0.28;50.77;http://dbpedia.org/resource/Marjorie_Grice-Hutchinson|Marjorie Grice-Hutchinson (1909);1
467;Eckernförde;Town;9.83778;54.4742;http://dbpedia.org/resource/Franz_Gehrels|Franz Gehrels (1922),http://dbpedia.org/resource/Lorenz_von_Stein|Lorenz von Stein (1815);2
468;Edam, Saskatchewan;Village;-108.767;53.1833;http://dbpedia.org/resource/Wayne_Wouters|Wayne Wouters (2000);1
469;Edgeworthstown;Town;-7.6097;53.6966;http://dbpedia.org/resource/Francis_Ysidro_Edgeworth|Francis Ysidro Edgeworth (1845);1
470;Edinburgh;City;-3.189;55.953;http://dbpedia.org/resource/Angus_Deaton|Angus Deaton (1945),http://dbpedia.org/resource/Esmond_Birnie|Esmond Birnie (1965),http://dbpedia.org/resource/Francis_Horner|Francis Horner (1778),http://dbpedia.org/resource/Graeme_Maxton|Graeme Maxton (2000),http://dbpedia.org/resource/William_Cunningham_(economist)|William Cunningham (economist) (1849);5
471;Edo;City;139.692;35.6894;http://dbpedia.org/resource/Takahashi_Korekiyo|Takahashi Korekiyo (1854);1
472;Edogawa, Tokyo;;139.883;35.7;http://dbpedia.org/resource/Kazuhide_Uekusa|Kazuhide Uekusa (1960);1
473;Eger;City;20.3747;47.899;http://dbpedia.org/resource/László_Habis|László Habis (1952);1
474;Egypt;Country;31.2167;30.0333;http://dbpedia.org/resource/Hanan_Morsy|Hanan Morsy (2000),http://dbpedia.org/resource/Magda_Kandil|Magda Kandil (1958);2
475;Eichstätt;Town;11.1839;48.8919;http://dbpedia.org/resource/Marina_Schuster|Marina Schuster (1975);1
476;Eksjö;;14.9703;57.6669;http://dbpedia.org/resource/Magnus_Johannesson|Magnus Johannesson (1964);1
477;El Salvador;Country;-89.1833;13.6989;http://dbpedia.org/resource/Ana_Vilma_de_Escobar|Ana Vilma de Escobar (1954);1
478;Elberfeld;;7.13333;51.2667;http://dbpedia.org/resource/Hans_Singer|Hans Singer (1910),http://dbpedia.org/resource/Jürgen_Kuczynski|Jürgen Kuczynski (1904);2
479;Elda;;-0.796667;38.4789;http://dbpedia.org/resource/Manuel_Arellano|Manuel Arellano (1957);1
480;Elgin, Illinois;City;-88.3228;42.0383;http://dbpedia.org/resource/Marshall_Goldman|Marshall Goldman (1930);1
481;Elis (regional unit);AdministrativeRegion;21.5;37.6667;http://dbpedia.org/resource/Panagis_Vourloumis|Panagis Vourloumis (1867);1
482;Elizabethtown, Kentucky;City;-85.8667;37.7;http://dbpedia.org/resource/Philip_B._Coulter|Philip B. Coulter (1939);1
483;Ellsworth, Maine;City;-68.4761;44.5722;http://dbpedia.org/resource/Henry_Crosby_Emery|Henry Crosby Emery (1872);1
484;Empire of Japan;Country;139.767;35.6833;http://dbpedia.org/resource/Tadashi_Sasaki_(banker)|Tadashi Sasaki (banker) (1907),http://dbpedia.org/resource/Yasuo_Fukuda|Yasuo Fukuda (1936);2
485;Empoli;SoccerClub;10.95;43.7167;http://dbpedia.org/resource/Irene_Tinagli|Irene Tinagli (1974);1
486;Endicott, New York;Village;-76.0547;42.1031;http://dbpedia.org/resource/Anne_Osborn_Krueger|Anne Osborn Krueger (1934);1
487;England;Country;-0.116667;51.5;http://dbpedia.org/resource/Agatha_Chapman|Agatha Chapman (1907),http://dbpedia.org/resource/Evan_Davis|Evan Davis (1962),http://dbpedia.org/resource/James_Meade|James Meade (1907),http://dbpedia.org/resource/John_Hicks|John Hicks (1904),http://dbpedia.org/resource/Liam_Halligan|Liam Halligan (1969),http://dbpedia.org/resource/Paul_Newbold|Paul Newbold (1945),http://dbpedia.org/resource/Richard_Jolly|Richard Jolly (1934),http://dbpedia.org/resource/Roger_Farmer|Roger Farmer (1955),http://dbpedia.org/resource/Thomas_Attwood_(economist)|Thomas Attwood (economist) (1783),http://dbpedia.org/resource/Thomas_Kuczynski|Thomas Kuczynski (1944),http://dbpedia.org/resource/Thomas_Worrall_Kent|Thomas Worrall Kent (1922),http://dbpedia.org/resource/Walter_Bagehot|Walter Bagehot (1826),http://dbpedia.org/resource/William_Mitchell_Acworth|William Mitchell Acworth (1850);13
488;Englewood, New Jersey;City;-73.9725;40.8912;http://dbpedia.org/resource/Randall_Kroszner|Randall Kroszner (1962);1
489;Enkhuizen;Town;5.3;52.7;http://dbpedia.org/resource/Gerrit_Zalm|Gerrit Zalm (1952);1
490;Enterprise, Oregon;City;-117.277;45.4242;http://dbpedia.org/resource/Dale_T._Mortensen|Dale T. Mortensen (1939);1
491;Erfurt;;11.0333;50.9833;http://dbpedia.org/resource/Alfred_Weber|Alfred Weber (1868);1
492;Eritrea;Country;39.0;15.3333;http://dbpedia.org/resource/Berhane_Abrehe|Berhane Abrehe (1945);1
493;Erkrath;Town;6.91472;51.2239;http://dbpedia.org/resource/Manfred_Lahnstein|Manfred Lahnstein (1937);1
494;Erlangen;City;11.0167;49.5833;http://dbpedia.org/resource/Adolph_Wagner|Adolph Wagner (1835);1
495;Ermoclia;Village;29.5167;46.5833;http://dbpedia.org/resource/Ion_Ciontoloi|Ion Ciontoloi (1958);1
496;Eschweiler;Town;6.28333;50.8167;http://dbpedia.org/resource/Wilhelm_Lexis|Wilhelm Lexis (1837);1
