;place_name;place_type;long;lat;concat_person;person
42;Andhra Pradesh;;80.64;16.5;http://dbpedia.org/resource/Duvvuri_Subbarao|Duvvuri Subbarao (1949);1
43;Angola;Country;18.5;-8.83333;http://dbpedia.org/resource/Aguinaldo_Jaime|Aguinaldo Jaime (1954),http://dbpedia.org/resource/José_Pedro_de_Morais|José Pedro de Morais (1955);2
44;Angus, Scotland;;-2.91667;56.6667;http://dbpedia.org/resource/James_Mill|James Mill (1773);1
45;Anhui;AdministrativeRegion;117.0;31.8333;http://dbpedia.org/resource/Zhu_Ling_(economist)|Zhu Ling (economist) (2000);1
46;Ankara;City;32.85;39.93;http://dbpedia.org/resource/Aylin_Nazlıaka|Aylin Nazlıaka (1968),http://dbpedia.org/resource/Erdem_Başçı|Erdem Başçı (2000),http://dbpedia.org/resource/Fatih_Birol|Fatih Birol (1958),http://dbpedia.org/resource/Mehmet_Altan|Mehmet Altan (1953),http://dbpedia.org/resource/Şirin_Tekeli|Şirin Tekeli (1944);5
47;Ann Arbor, Michigan;City;-83.7483;42.2814;http://dbpedia.org/resource/Brian_Wesbury|Brian Wesbury (1958),http://dbpedia.org/resource/Bruce_Bartlett|Bruce Bartlett (1951),http://dbpedia.org/resource/Deirdre_McCloskey|Deirdre McCloskey (1942),http://dbpedia.org/resource/Gene_Sperling|Gene Sperling (1958),http://dbpedia.org/resource/Lawrence_F._Katz|Lawrence F. Katz (2000),http://dbpedia.org/resource/Mark_Spitznagel|Mark Spitznagel (1971),http://dbpedia.org/resource/Michael_Porter|Michael Porter (1947);7
48;Annapolis, Maryland;City;-76.5011;38.9731;http://dbpedia.org/resource/Michael_Martin_Hammer|Michael Martin Hammer (1948);1
49;Antioquia Department;;-75.5667;6.21667;http://dbpedia.org/resource/Jorge_Alberto_Uribe|Jorge Alberto Uribe (1940);1
50;Antwerp;;4.40028;51.2178;http://dbpedia.org/resource/Estelle_Cantillon|Estelle Cantillon (2000),http://dbpedia.org/resource/Robert_Vandeputte|Robert Vandeputte (1908),http://dbpedia.org/resource/Robert_van_Genechten|Robert van Genechten (1895);3
51;Anápolis;Town;-48.9519;-16.3339;http://dbpedia.org/resource/Henrique_Meirelles|Henrique Meirelles (1945);1
52;Arad, Romania;;21.3167;46.1667;http://dbpedia.org/resource/Edward_Luttwak|Edward Luttwak (1942);1
53;Ardencaple Castle;ArchitecturalStructure;-4.75697;56.0091;http://dbpedia.org/resource/George_Campbell,_8th_Duke_of_Argyll|George Campbell, 8th Duke of Argyll (1823);1
54;Arequipa;AdministrativeRegion;-71.5333;-16.3833;http://dbpedia.org/resource/Hernando_de_Soto_Polar|Hernando de Soto Polar (1941);1
55;Argentina;Country;-58.3833;-34.0;http://dbpedia.org/resource/Julio_Rotemberg|Julio Rotemberg (1953);1
56;Argeș County;AdministrativeRegion;24.82;45.0;http://dbpedia.org/resource/Petre_Țuțea|Petre Țuțea (1902);1
57;Arizona;AdministrativeRegion;-112.0;34.0;http://dbpedia.org/resource/David_Chandler_Thomas|David Chandler Thomas (1954);1
58;Arkhangelsk;;40.5333;64.5333;http://dbpedia.org/resource/Lyudmyla_Denisova|Lyudmyla Denisova (1960);1
59;Arkhangelsk Oblast;AdministrativeRegion;43.0;63.5;http://dbpedia.org/resource/Konstantin_Noskov|Konstantin Noskov (1978),http://dbpedia.org/resource/Viktor_Uspaskich|Viktor Uspaskich (1959);2
60;Arlington, New Jersey;Village;-74.1383;40.7775;http://dbpedia.org/resource/Anthony_M._Solomon|Anthony M. Solomon (1919);1
61;Arlington, South Dakota;City;-97.1347;44.3644;http://dbpedia.org/resource/Theodore_Schultz|Theodore Schultz (1902);1
62;Armenia;Country;44.5167;40.1833;http://dbpedia.org/resource/Manuk_Hergnyan|Manuk Hergnyan (1975);1
63;Arnhem;City;5.91667;51.9833;http://dbpedia.org/resource/Victor_Marijnen|Victor Marijnen (1917);1
64;Aschaffenburg;Town;9.15;49.9667;http://dbpedia.org/resource/Lujo_Brentano|Lujo Brentano (1844);1
65;Ashgabat;City;58.3667;37.9333;http://dbpedia.org/resource/Dmitri_Shepilov|Dmitri Shepilov (2000);1
66;Ashley, Ohio;Village;-82.9528;40.4086;http://dbpedia.org/resource/Hazel_Kyrk|Hazel Kyrk (1886);1
67;Ashton-under-Lyne;;-2.09524;53.4897;http://dbpedia.org/resource/T._S._Ashton|T. S. Ashton (1889);1
68;Assam;;91.77;26.14;http://dbpedia.org/resource/Bhabananda_Deka|Bhabananda Deka (1929),http://dbpedia.org/resource/Qazi_Kholiquzzaman_Ahmad|Qazi Kholiquzzaman Ahmad (1943);2
69;Assam Province;AdministrativeRegion;91.77;26.14;http://dbpedia.org/resource/Shah_A_M_S_Kibria|Shah A M S Kibria (1931);1
70;Athens;City;23.7278;37.984;http://dbpedia.org/resource/Alekos_Alavanos|Alekos Alavanos (1950),http://dbpedia.org/resource/Christiana_Kalogirou|Christiana Kalogirou (2000),http://dbpedia.org/resource/George-Marios_Angeletos|George-Marios Angeletos (1975),http://dbpedia.org/resource/Georgios_Alogoskoufis|Georgios Alogoskoufis (1955),http://dbpedia.org/resource/Giannis_Ragousis|Giannis Ragousis (1965),http://dbpedia.org/resource/Giorgos_Papakonstantinou|Giorgos Papakonstantinou (1961),http://dbpedia.org/resource/Lucas_Papademos|Lucas Papademos (1947),http://dbpedia.org/resource/Nicholas_C._Yannelis|Nicholas C. Yannelis (1953),http://dbpedia.org/resource/Panos_Kammenos|Panos Kammenos (1965),http://dbpedia.org/resource/Rania_Antonopoulou|Rania Antonopoulou (1960),http://dbpedia.org/resource/Spyros_Kouvelis|Spyros Kouvelis (1964),http://dbpedia.org/resource/Vicky_Pryce|Vicky Pryce (2000),http://dbpedia.org/resource/Xenophon_Zolotas|Xenophon Zolotas (1904),http://dbpedia.org/resource/Yannis_Stournaras|Yannis Stournaras (1956);14
71;Atkins, Virginia;;-81.41;36.8689;http://dbpedia.org/resource/William_Hoofnagle|William Hoofnagle (1921);1
72;Atlanta;City;-84.39;33.755;http://dbpedia.org/resource/James_C._Miller_III|James C. Miller III (1942),http://dbpedia.org/resource/Mark_Zandi|Mark Zandi (1959);2
73;Atlantic City, New Jersey;City;-74.4511;39.3773;http://dbpedia.org/resource/Christian_Dorsey|Christian Dorsey (1971);1
74;Atoyac de Álvarez;City;-100.433;17.2;http://dbpedia.org/resource/Israel_Nogueda_Otero|Israel Nogueda Otero (1935);1
75;Auckland;City;174.74;-36.8406;http://dbpedia.org/resource/Alan_Bollard|Alan Bollard (2000),http://dbpedia.org/resource/Roderick_Deane|Roderick Deane (1941);2
76;Augsburg;Town;10.9;48.3667;http://dbpedia.org/resource/Otmar_Emminger|Otmar Emminger (1911);1
77;Augusta, Georgia;City;-81.9667;33.4667;http://dbpedia.org/resource/Ben_Bernanke|Ben Bernanke (1953);1
78;Austin, Texas;City;-97.7431;30.2672;http://dbpedia.org/resource/Carl_Shapiro|Carl Shapiro (1955),http://dbpedia.org/resource/Mark_McClellan|Mark McClellan (1963);2
79;Australia;Country;149.124;-25.0;http://dbpedia.org/resource/Adrian_Pagan|Adrian Pagan (1947),http://dbpedia.org/resource/Alfred_Winslow_Jones|Alfred Winslow Jones (1900),http://dbpedia.org/resource/Cameron_Hepburn|Cameron Hepburn (2000),http://dbpedia.org/resource/John_B._Condliffe|John B. Condliffe (1891),http://dbpedia.org/resource/Kenneth_Good_(political_scientist)|Kenneth Good (political scientist) (1933),http://dbpedia.org/resource/Martin_Parkinson|Martin Parkinson (1958),http://dbpedia.org/resource/Rod_Sims|Rod Sims (1950);7
80;Austria;Country;16.35;48.2;http://dbpedia.org/resource/Brigitte_Young|Brigitte Young (1946),http://dbpedia.org/resource/Gertrude_Tumpel-Gugerell|Gertrude Tumpel-Gugerell (1952),http://dbpedia.org/resource/Rudolf_Winter-Ebmer|Rudolf Winter-Ebmer (1961);3
