FID;FID_;Entity;Layer;Color;Linetype;Elevation;LineWt;RefName;Angle;IDTombe;Inventaire;Secteur;Coordonnee;Coordonn_1;Campagne;Datation;Anciennes_;POINT_X;POINT_Y
50;0;Point;Tombb;198;Continuous;0;25; ;0;59;358;1;1086;-272;2009-2010;3;272;30.44404733;19.6152262
51;0;Point;Tombb;198;Continuous;0;25; ;0;60;359;1;1093;-266;2009-2010;3;266;30.44409932;19.61528813
52;0;Point;Tombb;198;Continuous;0;25; ;0;61;360;1;1090;-266;2009-2010;3;266;30.44409959;19.61526182
53;0;Point;Tombb;198;Continuous;0;25; ;0;62;361;1;1088;-267;2009-2010;3;267;30.444091;19.61524419
54;0;Point;Tombb;198;Continuous;0;25; ;0;63;362;1;1091;-266;2009-2010;3;266;30.4440995;19.61527059
55;0;Point;Tombb;198;Continuous;0;25; ;0;64;363;1;1086;-265;2009-2010;3;265;30.44410872;19.61522683
56;0;Point;Tombb;198;Continuous;0;25; ;0;65;364;1;1084;-266;2009-2010;3;266;30.44410013;19.6152092
57;0;Point;Tombb;198;Continuous;0;25; ;0;66;365;1;1086;-267;2009-2010;3;267;30.44409118;19.61522665
58;0;Point;Tombb;198;Continuous;0;25; ;0;67;366;1;1090;-271;2009-2010;3;271;30.44405574;19.61526137
59;0;Point;Tombb;198;Continuous;0;25; ;0;68;367;1;1085;-271;2009-2010;3;271;30.44405619;19.61521752
60;0;Point;Tombb;198;Continuous;0;25; ;0;69;368;1;1084;-273;2009-2010;3;273;30.44403874;19.61520857
61;0;Point;Tombb;198;Continuous;0;25; ;0;70;369;1;1092;-268;2009-2010;3;268;30.44408187;19.61527918
62;0;Point;Tombb;198;Continuous;0;25; ;0;71;370;1;1084;-277;2009-2010;3;277;30.44400366;19.61520821
63;0;Point;Tombb;198;Continuous;0;25; ;0;72;371;1;1086;-274;2009-2010;3;274;30.44402979;19.61522602
64;0;Point;Tombb;198;Continuous;0;25; ;0;74;285;3;1087;-298;2009-2010;4;298;30.44381923;19.61523263
65;0;Point;Tombb;198;Continuous;0;25; ;0;75;286;3;1086;-302;2009-2010;4;302;30.44378424;19.6152235
66;0;Point;Tombb;198;Continuous;0;25; ;0;76;287;3;1087;-300;2009-2010;3;300;30.44380169;19.61523245
67;0;Point;Tombb;198;Continuous;0;25; ;0;77;288;3;1085;-298;2009-2010;4;298;30.44381941;19.61521509
68;0;Point;Tombb;198;Continuous;0;25; ;0;78;289;3;1086;-299;2009-2010;4;299;30.44381055;19.61522377
69;0;Point;Tombb;198;Continuous;0;25; ;0;79;290;3;1084;-302;2009-2010;4;302;30.44378442;19.61520596
70;0;Point;Tombb;198;Continuous;0;25; ;0;80;291;3;1083;-300;2009-2010;4;300;30.44380205;19.61519737
71;0;Point;Tombb;198;Continuous;0;25; ;0;81;292;3;1083;-297;2009-2010;4;297;30.44382836;19.61519764
72;0;Point;Tombb;198;Continuous;0;25; ;0;82;293;3;1082;-301;2009-2010;4;301;30.44379337;19.61518851
73;0;Point;Tombb;198;Continuous;0;25; ;0;83;294;3;1082;-303;2009-2010;4;303;30.44377583;19.61518833
74;0;Point;Tombb;198;Continuous;0;25; ;0;84;295;3;1081;-300;2009-2010;4;300;30.44380223;19.61517983
75;0;Point;Tombb;198;Continuous;0;25; ;0;85;296;3;1080;-302;2009-2010;4;302;30.44378478;19.61517088
76;0;Point;Tombb;198;Continuous;0;25; ;0;86;297;3;1080;-300;2009-2010;4;300;30.44380232;19.61517106
77;0;Point;Tombb;198;Continuous;0;25; ;0;87;298;3;1078;-297;2009-2010;4;297;30.44382881;19.61515379
78;0;Point;Tombb;198;Continuous;0;25; ;0;88;372;3;1090;-299;2010-2011;3;299;30.44381019;19.61525885
79;0;Point;Tombb;198;Continuous;0;25; ;0;91;373;1;1084;-270;2010-2011;3;270;30.44406505;19.61520884
80;0;Point;Tombb;198;Continuous;0;25; ;0;92;374;1;1084;-267;2010-2011;3;267;30.44409136;19.61520911
81;0;Point;Tombb;198;Continuous;0;25; ;0;93;375;1;1090;-274;2010-2011;3;274;30.44402943;19.6152611
82;0;Point;Tombb;198;Continuous;0;25; ;0;94;376;1;1084;-276;2010-2011;3;276;30.44401243;19.6152083
83;0;Point;Tombb;198;Continuous;0;25; ;0;95;377;1;1088;-276;2010-2011;3;276;30.44401207;19.61524338
84;0;Point;Tombb;198;Continuous;0;25; ;0;96;378;1;1088;-276;2010-2011;3;276;30.44401207;19.61524338
85;0;Point;Tombb;198;Continuous;0;25; ;0;97;379;1;1090;-277;2010-2011;3;277;30.44400312;19.61526083
86;0;Point;Tombb;198;Continuous;0;25; ;0;98;380;1;1091;-277;2010-2011;3;277;30.44400303;19.6152696
