annee|continent
1944|Am. Nord
1962|Am. Nord
1930|Am. Nord
1958|Am. Nord
1972|Am. Nord
1918|Am. Nord
1853|Am. Nord
1942|Am. Nord
1885|Am. Nord
1960|Am. Nord
1956|Am. Nord
1937|Am. Nord
1917|Am. Nord
1910|Am. Nord
1954|Am. Nord
1953|Am. Nord
1951|Am. Nord
1952|Am. Nord
1955|Am. Nord
1970|Am. Nord
1953|Am. Nord
1953|Am. Nord
1952|Am. Nord
1939|Am. Nord
1954|Am. Nord
1952|Am. Nord
1920|Am. Nord
1934|Am. Nord
1888|Am. Nord
1961|Am. Nord
1933|Am. Nord
1932|Am. Nord
1951|Am. Nord
1947|Am. Nord
1960|Am. Nord
1956|Am. Nord
1923|Am. Nord
1975|Am. Nord
1967|Am. Nord
1876|Am. Nord
1923|Am. Nord
1959|Am. Nord
1930|Am. Nord
1938|Am. Nord
1962|Am. Nord
1940|Am. Nord
1943|Am. Nord
1959|Am. Nord
1915|Am. Nord
1938|Am. Nord
1920|Am. Nord
1941|Am. Nord
1958|Am. Nord
1881|Am. Nord
1932|Am. Nord
1942|Am. Nord
1980|Am. Nord
1970|Am. Nord
1930|Am. Nord
1930|Am. Nord
1955|Am. Nord
1957|Am. Nord
1948|Am. Nord
1878|Am. Nord
1933|Am. Nord
1966|Am. Nord
1979|Am. Nord
1942|Am. Nord
1861|Am. Nord
1927|Am. Nord
1962|Am. Nord
1966|Am. Nord
1921|Am. Nord
1931|Am. Nord
1941|Am. Nord
1927|Am. Nord
1939|Am. Nord
1916|Am. Nord
1922|Am. Nord
1908|Am. Nord
1944|Am. Nord
1926|Am. Nord
1945|Am. Nord
1916|Am. Nord
1969|Am. Nord
1940|Am. Nord
1926|Am. Nord
1944|Am. Nord
1940|Am. Nord
1950|Am. Nord
1970|Am. Nord
1951|Am. Nord
1968|Am. Nord
1942|Am. Nord
1955|Am. Nord
1951|Am. Nord
1948|Am. Nord
1960|Am. Nord
1938|Am. Nord
1949|Am. Nord
1935|Am. Nord
1860|Am. Nord
1914|Am. Nord
1901|Am. Nord
1852|Am. Nord
1925|Am. Nord
1955|Am. Nord
1938|Am. Nord
1944|Am. Nord
1970|Am. Nord
1964|Am. Nord
1970|Am. Nord
1954|Am. Nord
1943|Am. Nord
1927|Am. Nord
1865|Am. Nord
1946|Am. Nord
1857|Am. Nord
1927|Am. Nord
1919|Am. Nord
1945|Am. Nord
1922|Am. Nord
1941|Am. Nord
1861|Am. Nord
1942|Am. Nord
1914|Am. Nord
1949|Am. Nord
1880|Am. Nord
1957|Am. Nord
1941|Am. Nord
1951|Am. Nord
1943|Am. Nord
1938|Am. Nord
1883|Am. Nord
1954|Am. Nord
1968|Europe
1944|Europe
1970|Europe
1956|Europe
1910|Europe
1961|Europe
1963|Europe
1957|Europe
1955|Europe
1947|Europe
1942|Europe
1928|Europe
1879|Europe
1953|Europe
1956|Europe
1974|Europe
1931|Europe
1954|Europe
1840|Europe
1942|Europe
1970|Europe
1935|Europe
1930|Europe
1973|Europe
1959|Am. Sud
1944|Am. Sud
1886|Am. Sud
1949|Am. Sud
1950|Am. Sud
1956|Am. Sud
1900|Am. Sud
1943|Am. Sud
1943|Am. Sud
1900|Am. Sud
1950|Am. Sud
1963|Am. Sud
1962|Am. Sud
1957|Am. Sud
1961|Am. Sud
1957|Am. Sud
1917|Am. Sud
1953|Am. Sud
1953|Am. Sud
1962|Am. Sud
1943|Am. Sud
1971|Am. Sud
1945|Am. Sud
1966|Am. Sud
1939|Am. Sud
1953|Am. Sud
1943|Am. Sud
1946|Am. Sud
1943|Am. Sud
1967|Am. Sud
1959|Am. Sud
1965|Am. Sud
1983|Am. Sud
1928|Am. Sud
1958|Am. Sud
1940|Am. Sud
1868|Am. Sud
1968|Europe
1967|Europe
1933|Europe
1965|Europe
1922|Europe
