|uri|name|annee_naiss|biogr
4011|http://data.bnf.fr/ark:/12148/cb10740584f#about|Henri Regnault|1883|Professeur à la Faculté de droit de Paris
4012|http://data.bnf.fr/ark:/12148/cb162602302#about|Jacques Balmain|1883|Docteur en droit. - Maire de Châteauneuf, Savoie
4013|http://data.bnf.fr/ark:/12148/cb12740377w#about|Henri Mylès|1883|Diplomate. - A été consul à Shanghaï, Chine. - Licencié ès lettres et en droit et diplômé de l'École des sciences politiques
4014|http://data.bnf.fr/ark:/12148/cb10442040d#about|Paul Leclère|1883|Docteur en droit (1905). - Conseiller référendaire à la Cour des comptes en 1920, conseiller maître en 1944, honoraire en 1953. - Poète. - Prénoms complets : Ernest Paul
4015|http://data.bnf.fr/ark:/12148/cb127743466#about|Wolfram Suchier|1883|Historien, juriste et bibliothécaire. - Directeur, Stadtbibliothek Erfurt, Allemagne (1919-1941). - A donné sa correspondance et ses archives à l'Universitäts- und Landesbibliothek Sachsen-Anhalt, Allemagne
4016|http://data.bnf.fr/ark:/12148/cb12347587r#about|Enrico Altavilla|1883|Juriste. - A été professeur à l'Université de Naples. - Député (1945-1946)
4017|http://data.bnf.fr/ark:/12148/cb11313487r#about|Émile Bonnet|1883|Professeur à la Faculté de droit de l'Université de Poitiers
4018|http://data.bnf.fr/ark:/12148/cb121298530#about|Pierre Roland-Marcel|1883|Préfet. - Administrateur général de la Bibliothèque nationale (1924-1930). - Auteur d'écrits littéraires et historiques. - Docteur en droit et licencié ès-lettres
4019|http://data.bnf.fr/ark:/12148/cb12130636w#about|Jacques Bompard|1883|"Licencié en droit et licencié ès lettres. - Journaliste et chroniqueur littéraire. - Écrivain. - Directeur de ""La Grande revue"" (en 1931). - Conseiller maître à la Cour des comptes (1941). - Officier de la Légion d'honneur (1926). - État civil : Auguste Jules Joseph dit Jacques Bompard. - Écrit également sous le pseudonyme de Claude Barjac"
4020|http://data.bnf.fr/ark:/12148/cb125202546#about|Juan Zaragüeta|1883|Prêtre catholique. - Professeur à l'université de Madrid. - Docteur en théologie et philosophie, diplômé en droit. - Secrétaire perpétuel de l'Académie des sciences morales et politiques espagnole
4021|http://data.bnf.fr/ark:/12148/cb12863540d#about|René Crayssac|1883|"Poète et Chroniqueur littéraire. - Fondateur des revues ""La Plume"" et ""Pages indochinoises"" à Hanoi (en 1912). - En poste, Gouvernement général de l'Indochine (jusqu'en 1939). - Licencié en droit"
4022|http://data.bnf.fr/ark:/12148/cb10709740q#about|Étienne Riché|1883|Docteur en droit (Paris, 1909). - Homme politique. - Député des Ardennes (1928-). - Sous-secrétaire d'État à l'Air (1931-1932) puis à la Défense nationale (1932)
4023|http://data.bnf.fr/ark:/12148/cb10075684b#about|Moritz Benvenut von Wrangell|1883|Docteur en droit (Université de Leipzig). - Diplômé en philologie (Lund)
4024|http://data.bnf.fr/ark:/12148/cb10227246g#about|Lucien Sigogne|1883|Avocat. - Docteur en droit (Paris, 1907). - S'installe à Tahiti à partir de 1910. - Maire de Papeete, Tahiti (1917-1920)
4025|http://data.bnf.fr/ark:/12148/cb10903118s#about|Jacques Hatt|1883|Docteur en droit (Paris, 1908) et docteur ès lettres (Strasbourg, 1922). - Administrateur, puis Président de la brasserie Kronenbourg à Strasbourg. - Érudit local
4026|http://data.bnf.fr/ark:/12148/cb109156223#about|Jules Mihura|1883|"Magistrat. - Avocat au Conseil d'État et à la Cour de cassation. - Président de la Fédération régionaliste française et directeur de la revue ""Action régionaliste"". - Délégué général du Centre national des académies et associations littéraires et savantes des provinces de France. - Docteur en droit et diplômé en sciences politiques"
4027|http://data.bnf.fr/ark:/12148/cb10937227m#about|Louis Bonjean|1883|Ecrivain, publiciste, juriste. - Fils du philanthrope Bonjean, Georges (1848-1918)
4028|http://data.bnf.fr/ark:/12148/cb16717633q#about|Robert Thoumyre|1883|Avocat. - Député puis sénateur de la Seine-Inférieure (1919-1932). - A été sous-secrétaire d'état au Commerce et à l'industrie (1920, 1921) et ministre des Pensions (1930). - Docteur en droit (Paris, 1908)
4029|http://data.bnf.fr/ark:/12148/cb11913562q#about|Jean Lucas-Dubreton|1883|"Conseiller d'État honoraire. - Homme de lettres. - Diplômé de l'École des sciences politiques et docteur en droit. - Cousin de Maurice Barrès (1862-1923). - Officier de la Légion d'honneur. - Collaborateur des périodiques ""Revue des deux mondes"", ""Revue de Paris"" et ""Le Crapouillot"""
4030|http://data.bnf.fr/ark:/12148/cb130101211#about|Léon Douarche|1883|Docteur en droit. - Sous-préfet et chef de bureau à l'Office National du Commerce Extérieur (1920-1928). - Directeur de l'Office international du vin
4031|http://data.bnf.fr/ark:/12148/cb13015592v#about|André Amiaud|1883|Juriste. - Professeur de droit à la Faculté de droit de Lille puis de Paris
4032|http://data.bnf.fr/ark:/12148/cb11833531p#about|Robert Tattegrain|1883|Docteur en droit (Paris, 1909). - Fils du peintre : Tattegrain, Francis (1852-1915)
4033|http://data.bnf.fr/ark:/12148/cb167087300#about|Wipert von Blücher|1883|Diplomate en poste à Berlin, Stockholm, Buenos Aires, Téhéran (1918-1935), Helsinki (1935-1944). - Docteur en droit (1911)
4034|http://data.bnf.fr/ark:/12148/cb12064487n#about|Oliveira Vianna|1883|Professeur, juriste, historien et sociologue. - Membre de : Academia Brasileira de Letras
4035|http://data.bnf.fr/ark:/12148/cb12177426j#about|Pietro De Francisci|1883|Juriste. - Professeur d'histoire de droit romain à l'université de Rome (en 1950). - Spécialiste de la Rome antique. - Membre de l'Académie des Lincei
4036|http://data.bnf.fr/ark:/12148/cb108416786#about|Léon Baréty|1883|Homme politique et journaliste. - Député des Alpes-Maritimes (en 1919, réélu en 1924). - Membre du Comité directeur du Parti républicain démocratique et social. - Sous-secrétaire d'État et rapporteur général du Budget. - Docteur en droit (1908)
4037|http://data.bnf.fr/ark:/12148/cb11458419g#about|Andor Halasi|1883|Écrivain. - Journaliste : Irodalmi Élet, Jövendő, Hét, Kritika, Népszava , Tett. - Juriste. - Traducteur (anglais en hongrois)
4038|http://data.bnf.fr/ark:/12148/cb17755727j#about|Johannes Duft|1883|Docteur en droit (Zurich, 1910). - Avocat à Saint-Gall. - Homme politique
4039|http://data.bnf.fr/ark:/12148/cb15508277s#about|Bronislaw Kuśnierz|1883|Juriste et homme politique, membre du gouvernement polonais en exil à Londres
4040|http://data.bnf.fr/ark:/12148/cb10470389q#about|Henry Gervais|1883|Inspecteur des Finances (1911-1912). - Docteur en droit et en philosophie scolastique (1914). - Mort pour la France en 1914
4041|http://data.bnf.fr/ark:/12148/cb12397951w#about|Pierre Lesueur|1883|Docteur en droit (1910). - Auteur d'ouvrages historiques sur Blois et le Loir-et-Cher. - A écrit en collaboration avec son frère : Lesueur, Frédéric (1877-19.. ; conservateur du château de Blois)
4042|http://data.bnf.fr/ark:/12148/cb12455361d#about|Guy Chastel|1883|Poète, essayiste et historien. - Docteur en droit (Grenoble, 1909)
4043|http://data.bnf.fr/ark:/12148/cb13188286f#about|Émile Rousset|1883|Soldat dans les bataillons d'Afrique. Il fut le témoin des mauvais traitements infligés à Albert Aernoult et qui lui causèrent sa mort ; accusé de meurtre, fut défendu par la Ligue des droits de l'homme et les mouvements de gauche, bénéficia d'un non-lieu (1912). - Militant libertaire
4044|http://data.bnf.fr/ark:/12148/cb105592552#about|Jeanne Terrat-Branly|1883|Fille d'Edouard Branly (1844-1940), elle épouse, en 1906, le docteur en droit Georges Terrat
4045|http://data.bnf.fr/ark:/12148/cb109868528#about|Walter Adametz|1883|Docteur en droit (Breslau, 1912)
4046|http://data.bnf.fr/ark:/12148/cb11032274h#about|Benoît Rambaud|1883|Docteur en droit (Paris, 1913). - Avocat à la cour d'appel de Paris. - Ingénieur agricole, se spécialise dans les questions rurales
4047|http://data.bnf.fr/ark:/12148/cb13038516w#about|Fritz Hartung|1883|Juriste. - Spécialiste de l'histoire constitutionnelle
4048|http://data.bnf.fr/ark:/12148/cb11924160c#about|Joseph Alois Schumpeter|1883|Économiste. - Professeur d'économie politique à l'Université de Vienne,puis à Bonn et Harvard. - Ministre des finances de l'Autriche (1919-1920)
4049|http://data.bnf.fr/ark:/12148/cb124570136#about|Alfonso De Pietri-Tonelli|1883|"Économiste. - Professeur d'économie politique à l'Université ""Ca' Foscari"", Venise (1923-1952)"
4050|http://data.bnf.fr/ark:/12148/cb13624518f#about|René Gast|1883|"Rédacteur en chef des périodiques ""Le Petit parisien"", Le Petit Journal"" et ""Le Mois"". - Éditorialiste à ""L'Avenir"". - Docteur en droit (Paris, 1908)"
4051|http://data.bnf.fr/ark:/12148/cb10686633x#about|François de Feydeau de Saint-Christophe|1883|Docteur en droit. - Inspecteur à la compagnie d'assurances l'Union
4052|http://data.bnf.fr/ark:/12148/cb165830305#about|Peliksas Bugailiškis|1883|Juriste. - Éditeur. - Ethnologue
4053|http://data.bnf.fr/ark:/12148/cb103094437#about|Élisée Frouin|1883|Docteur en droit (Bordeaux, 1909). - Député de la Gironde. - Prénoms complets : Élisée, Rigal, Louis
4054|http://data.bnf.fr/ark:/12148/cb12642667q#about|André Toulemon|1883|Juriste. - Avocat. - Historien
4055|http://data.bnf.fr/ark:/12148/cb15664809d#about|Hubert Pierlot|1883|Homme politique. - Premier ministre en 1939, dirige le gouvernement en exil de 1939 à 1945. - Professeur de droit
4056|http://data.bnf.fr/ark:/12148/cb11122010p#about|François Naville|1883|"Docteur en médecine. - A été professeur aux facultés de médecine et de droit de Genève, Suisse. - A collaboré au ""Journal de Genève"" (en 1945)"
4057|http://data.bnf.fr/ark:/12148/cb129177940#about|Miloš Marten|1883|Juriste et homme de lettres. - Critique littéraire
4058|http://data.bnf.fr/ark:/12148/cb12743669t#about|Paul Gemähling|1883|Docteur en droit (Paris (1910). - Professeur d'économie politique à l'université de Strasbourg (1919-1943), puis de Paris (1943-1954)
4059|http://data.bnf.fr/ark:/12148/cb110927148#about|Alexandre Angeli|1883|Docteur en droit (1909). - Préfet régional de Lyon (1940-1944). - Condamné à mort par la Cour de justice de Lyon (décembre 1944), rejugé à Paris, il est condamné à 4 années d'emprisonnement et à la perte de ses droits civiques
4060|http://data.bnf.fr/ark:/12148/cb104708982#about|Charles de Gourcy|1883|Officier au 122e Régiment d'Infanterie. - A été agent d'assurances. - Docteur en droit (Poitiers, 1911). - Comte. - Prénoms complets : Charles, Henri
4061|http://data.bnf.fr/ark:/12148/cb10943645w#about|Emile Courtès|1883|Licencié en droit et en lettres. - Haut fonctionnaire. - Conseiller maître à la Cour des comptes en 1936, honoraire en 1953
4062|http://data.bnf.fr/ark:/12148/cb10990445n#about|Raoul Bauchard|1883|Docteur en droit (1907). - A été avoué près le Tribunal civil de Saumur, et président de la Société des lettres, sciences et arts du Saumurois
4063|http://data.bnf.fr/ark:/12148/cb10497187k#about|Étienne Dejean|1883|Docteur en droit, diplômé de Sciences Po. - Inspecteur des Finances en 1910. - Mort pour la France en 1915
4064|http://data.bnf.fr/ark:/12148/cb120287748#about|Henry Noëll|1883|"Homme de lettres. - Membre de la Société des gens de lettres et mainteneur des Jeaux floraux du Roussillon. - Prix Eugène Carrière de l'Académie française (1958). - Chroniqueur littéraire à ""L'Indépendant des Pyrénées-Orientales"". - Docteur en droit. - A été chef de service au Sénat et avocat au barreau de Toulouse. - Officier de la Légion d'honneur"
4065|http://data.bnf.fr/ark:/12148/cb12734546x#about|Marcel Audibert|1883|Avocat puis juge d'instruction et procureur de la République. - Docteur en droit et licencié ès lettres, auteur de romans dans sa jeunesse. - Fils du professeur de droit Adrien Audibert (1850-1918) et frère de Georges Audibert (1885-1915)
4066|http://data.bnf.fr/ark:/12148/cb13181743v#about|Joseph de Bonne|1883|Essayiste. - Poète. - Docteur en droit. - Lieutenant au 2e régiment de marche des tirailleurs. - Vicomte
4067|http://data.bnf.fr/ark:/12148/cb12206467m#about|Andrej Ânuarʹevič Vyšinskij|1883|Homme politique et juriste
4068|http://data.bnf.fr/ark:/12148/cb104102776#about|Raoul de Percin|1883|Avocat. - Homme de lettres. - Docteur en droit (Caen, 1910). - Comte de Percin et marquis de La Valette
4069|http://data.bnf.fr/ark:/12148/cb13025404p#about|Justino E. Jiménez de Aréchaga|1883|Avocat (1909). - Professeur de littérature et de droit constitutionnel. Sénateur (1919-1925). Plusieurs fois ministre
4070|http://data.bnf.fr/ark:/12148/cb10242577s#about|René Japiot|1883|Docteur en droit. - Avocat à la Cour d'appel
4071|http://data.bnf.fr/ark:/12148/cb10482408v#about|François de Ramel|1883|Docteur en droit (Paris, 1910). - Licencié ès sciences. - Avocat à la Cour d'appel de Paris, député du Gard à l'Assemblée Nationale (1919-1936). - Comte
4072|http://data.bnf.fr/ark:/12148/cb11093315r#about|François Auclair|1883|Juge d'instruction à Mauriac. - Docteur en droit (Paris, 1909)
4073|http://data.bnf.fr/ark:/12148/cb10279294v#about|Louis Loriot|1883|Administrateur de sociétés. - Docteur en droit (1910). - Conseiller d'état (1934)
