nationality|eff|code
Flanders|1|Fland
Flemish|1|Flemi
French-American|1|Frenc
French_and_British|1|Frenc
French_nationality_law|1|Frenc
French_people|1|Frenc
Genevan, and Swiss since 1815|1|Genev
Georgia_(country)|1|Georg
German / British|1|Germa
German Australian.|1|Germa
German, American|1|Germa
German-American|1|Germa
German-British|1|Germa
German_language|1|Germa
German_nationality_law|1|Germa
Great Britain|1|Great
Greek and British|1|Greek
Greeks|1|Greek
Grenada|1|Grena
Guatemalan_people|1|Guate
Han_Chinese|1|Han_C
Hungarian|1|Hunga
Hungarian_people|1|Hunga
India, United States|1|India
Indonesia|1|Indon
Indonesian|1|Indon
Iranians_in_the_United_Kingdom|1|Irani
Ireland|1|Irela
Israel and U.S.|1|Israe
Israeli-Canadian|1|Israe
Italia|1|Itali
Italian and American|1|Itali
Italian, American|1|Itali
Italian; American|1|Itali
Italian_people|1|Itali
Italy and USA|1|Italy
Jamaican_people|1|Jamai
Jamaicans|1|Jamai
Jordan|1|Jorda
Karachays|1|Karac
Kazakhs|1|Kazak
Kingdom_of_Hungary_(1920–1946)|1|Kingd
Koreans_in_the_United_Kingdom|1|Korea
Kyrgyz|1|Kyrgy
Kyrgyzstan|1|Kyrgy
Latvia|1|Latvi
Macedonian|1|Maced
Malaysia|1|Malay
Mexicans|1|Mexic
Moldovan-British-American|1|Moldo
Montenegrins|1|Monte
Morocco|1|Moroc
Motswana|1|Motsw
Mozambican|1|Mozam
Myanmar|1|Myanm
Nepali|1|Nepal
Netherlands_(terminology)|1|Nethe
New Zealander|1|New Z
North_Macedonia|1|North
Northern Ireland, Ireland, and UK|1|North
Northern_Ireland|1|North
Ossetians|1|Osset
Ottoman/Bulgarian|1|Ottom
Ottoman_Empire|1|Ottom
PRC from 1979|1|PRC f
Pakistani|1|Pakis
Pakistani_nationality_law|1|Pakis
Pakistanis|1|Pakis
Palestinian_people|1|Pales
Palestinians|1|Pales
Papua New Guinean|1|Papua
Papua_New_Guinea|1|Papua
People's Republic of China|1|Peopl
People's_Republic_of_China|1|Peopl
People_of_Pakistan|1|Peopl
Perú|1|Perú
Poland|1|Polan
Poland - Austria|1|Polan
Poland, United Kingdom|1|Polan
Polish American|1|Polis
Polish, American|1|Polis
Polish-American|1|Polis
Polish_language|1|Polis
Polish_minority_in_Zaolzie|1|Polis
Polish_minority_in_the_Czech_Republic|1|Polis
Polish_people|1|Polis
Prussia|1|Pruss
Prussian|1|Pruss
Quebec|1|Quebe
Québec|1|Québe
ROC until 1979|1|ROC u
Republic_of_Ireland|1|Repub
Russian_American|1|Russi
Russian_Americans|1|Russi
Russian_language|1|Russi
Russian_people|1|Russi
Rwanda|1|Rwand
Salvadoran|1|Salva
Salvadorans|1|Salva
Saudi Arabian|1|Saudi
Saudi_Arabian_nationality_law|1|Saudi
Scottish and American|1|Scott
Scottish_American|1|Scott
Scottish_Americans|1|Scott
Scottish_people|1|Scott
Serbia|1|Serbi
Serbian / American|1|Serbi
Serbian / French|1|Serbi
Serbs|1|Serbs
Serbs_of_Bosnia_and_Herzegovina|1|Serbs
Seychelles|1|Seych
Sierra_Leone|1|Sierr
Singaporean|1|Singa
Slovakia|1|Slova
Slovenes|1|Slove
South_Korea|1|South
Soviet and Russian|1|Sovie
Spaniards|1|Spani
Spanish_people|1|Spani
State_of_Israel|1|State
Sudan|1|Sudan
Swiss, American|1|Swiss
Swiss_nationality_law|1|Swiss
Thai|1|Thai
The Netherlands|1|The N
Trinidadian|1|Trini
Trinidadian and Tobagonian|1|Trini
Turkish/United States|1|Turki
US|1|US
Ukrainian|1|Ukrai
Ukrainians|1|Ukrai
United States and Hungarian|1|Unite
United States and Israel|1|Unite
United States permanent resident|1|Unite
United_States_nationality_law|1|Unite
Venezuelan|1|Venez
Vietnam|1|Vietn
Weimar_Republic|1|Weima
West_Germany|1|West_
Zambian|1|Zambi
